uuid,source,orig_id,datetime_local,year,month,day,hour,lat,lon,sequence_img_count,sequence_index,sequence_id,hFoV,vFoV,heading,Beautiful,Boring,Depressing,Lively,Safe,Wealthy,Bird,Ground.Animal,Curb,Fence,Guard.Rail,Barrier,Wall,Bike.Lane,Crosswalk...Plain,Curb.Cut,Parking,Pedestrian.Area,Rail.Track,Road,Service.Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other.Rider,Lane.Marking...Crosswalk,Lane.Marking...General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike.Rack,Billboard,Catch.Basin,CCTV.Camera,Fire.Hydrant,Junction.Box,Mailbox,Manhole,Phone.Booth,Pothole,Street.Light,Pole,Traffic.Sign.Frame,Utility.Pole,Traffic.Light,Traffic.Sign..Back.,Traffic.Sign..Front.,Trash.Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On.Rails,Other.Vehicle,Trailer,Truck,Wheeled.Slow,Car.Mount,Ego.Vehicle,Total,url
e7c8e4f9-baa7-4237-9eee-58c8897472f4,Mapillary,288367996293371,2019-03-16 16:21:59.185000+01:00,2019,3,16,16,47.37537347850014,8.545426726341248,112,29,Eq_XNp7qSxaMCiyJAR-spg,65.19286649502509,39.56573585092836,327.20428466797,7.57,2.65,3.26,7.97,1.35,1.38,0,0,34161,0,0,0,521913,0,0,0,0,0,85632,265110,0,214074,0,355785,0,0,0,0,0,0,21015,0,0,96120,0,0,33282,0,0,0,1233,8697,0,0,0,0,0,0,0,0,255,16425,0,342,0,0,882,0,0,0,0,53331,0,0,0,0,0,0,0,0,616953,2325210,https://www.mapillary.com/app/?focus=photo&pKey=288367996293371
bc7a7e5b-a286-453b-8051-ba17c02b62ac,Mapillary,585672335750442,2019-06-08 14:45:09.942000+02:00,2019,6,8,14,47.37571858791213,8.54336142539978,186,44,klyccd4lp25ks7pbuikv6y,65.85671750451422,40.03261858696247,195.41876220703,7.24,3.21,3.13,7,1.77,5.23,0,0,0,488559,0,0,0,0,0,0,0,0,0,45495,0,576525,85638,185640,0,263553,6966,0,0,0,258,0,0,147108,0,0,204324,205539,3351,0,0,5778,0,0,0,0,0,0,0,0,0,36081,0,0,0,2145,5421,0,9912,0,0,1470,0,0,0,0,0,0,0,0,0,2273763,https://www.mapillary.com/app/?focus=photo&pKey=585672335750442
4c4543d0-419c-43ac-ad64-9080852d3814,Mapillary,506292417898106,2022-04-17 18:23:51.600000+02:00,2022,4,17,18,47.36927011785812,8.531076908111572,46,15,oeDNUIkz0BxmOiHKAJrlLb,68.46444753428008,41.88742001184766,199.0659919876164,7.97,2.09,2.59,9.55,3.86,7.3,0,0,51375,3285,0,0,3015,0,0,0,42192,0,0,458862,0,71733,0,946758,0,0,0,0,0,0,85770,0,0,123312,0,0,170499,0,0,0,0,0,0,0,0,0,0,0,0,0,1389,2508,0,0,0,0,8352,0,0,0,0,359922,0,0,0,0,0,7758,0,0,0,2336730,https://www.mapillary.com/app/?focus=photo&pKey=506292417898106
2888ad21-b8e0-47cc-adac-bb6fcc1a787a,Mapillary,700994751221528,2022-04-16 11:11:26+02:00,2022,4,16,11,47.3797071622576,8.525508642196655,410,268,iZG8RvgaBlzqAN4bsTp7SC,68.172269878089935,41.677918058314646,209.34192260904973,7.88,1.44,1.23,8.71,2.62,7.75,0,0,23223,0,0,0,0,0,0,0,62160,0,0,1274283,0,45576,0,458856,0,0,0,0,0,0,23433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730,11907,0,0,0,1371,2550,0,18477,0,0,417774,0,0,0,0,0,0,0,0,0,2342340,https://www.mapillary.com/app/?focus=photo&pKey=700994751221528
f6611230-095a-4ef4-bd60-9f1392b58eae,Mapillary,416442343326430,2022-04-15 15:52:03+02:00,2022,4,15,15,47.38091675222654,8.545834422111511,228,100,Berl2M9aXIzRLPSDcJHT4k,64.137491554103,38.82778486361468,153.95006968752534,9.13,5.61,2.84,9.4,5.32,8.77,0,0,84099,56613,0,0,91839,0,0,30840,0,0,0,826491,0,334797,0,218991,0,2847,0,0,0,0,11862,0,0,103068,0,168,477414,0,0,0,0,15051,0,0,0,0,0,10365,0,0,0,12636,0,0,0,0,0,2616,0,0,0,912,0,720,0,0,0,0,0,0,0,2281329,https://www.mapillary.com/app/?focus=photo&pKey=416442343326430
55347fa0-6d9f-4459-bcfb-974b7b533df7,Mapillary,970467513762706,2019-02-10 13:25:48.597000+01:00,2019,2,10,13,47.37006214144248,8.530336618423462,162,250,bGNNsknhT62DnW2EbcYFdw,48.8897369654863,28.685616253815382,218.41648864746,6.24,6.54,3.84,3.9,4.57,4.55,0,0,18576,183282,0,0,150888,0,0,0,0,0,0,252555,0,0,0,67113,0,0,0,0,0,0,9735,33,0,19872,0,71865,943761,77649,0,0,0,0,0,0,0,0,0,0,0,0,0,402,1248,0,0,0,3747,0,0,0,0,20346,0,0,0,0,0,0,0,0,470901,2291973,https://www.mapillary.com/app/?focus=photo&pKey=970467513762706
4e291c23-c9d7-4ad2-8e83-7f1b4e6949c3,Mapillary,315251406855048,2018-07-03 18:33:01+02:00,2018,7,3,18,47.37810886268224,8.546789288520813,84,310,rR1yQKi3RX2BLnDP8mWc6Q,NA,NA,157.11541748047,3.74,4.85,3.18,4.92,1.29,1.59,0,0,0,4187,0,52134,870,0,0,0,0,0,0,354978,0,36636,0,591529,0,0,0,434,0,0,6993,0,0,460398,0,0,0,0,0,0,0,39439,0,0,0,0,0,0,0,0,2910,3021,0,0,0,0,0,0,0,0,0,0,0,1622,0,0,0,0,0,0,0,1555151,https://www.mapillary.com/app/?focus=photo&pKey=315251406855048
22ce245d-d353-403c-b6a1-4586e0d31c44,Mapillary,528047748569107,2020-03-01 15:45:50.152000+01:00,2020,3,1,15,47.36986232010037,8.542186617851257,237,433,HAkNXSaRqVf2orEnb9Un6t,61.583673164532215,48.164025005622136,0,7.88,7.6,5.36,6.38,5.95,9.31,0,0,19828,34012,0,0,0,0,0,0,0,0,0,291640,0,21712,0,725888,0,340052,0,0,0,0,0,0,0,1290032,0,0,36384,0,0,0,0,0,0,0,0,0,0,0,0,0,5112,25816,0,0,0,0,0,0,7680,0,0,31304,0,0,0,0,0,0,0,223572,0,3053032,https://www.mapillary.com/app/?focus=photo&pKey=528047748569107
0a626880-6367-485f-b5c0-a85815abf27f,Mapillary,509949976805169,2019-02-10 13:47:27.384000+01:00,2019,2,10,13,47.37549699160184,8.54535698890686,90,78,v-6eyeAxTXO-JHS13p7T4g,64.70233161976498,39.2220891859527,335.11334228516,3.89,3.85,2.36,3.82,2.62,1.82,0,0,16116,0,0,0,69384,0,0,0,0,0,50433,214491,0,193395,790116,273537,0,0,0,0,0,0,16308,0,0,134514,0,0,100092,0,0,0,0,3762,0,0,0,0,0,0,0,0,0,0,0,1254,0,4404,1554,0,0,0,0,8337,0,0,0,0,0,0,0,0,433212,2310909,https://www.mapillary.com/app/?focus=photo&pKey=509949976805169
2555306b-1008-41a4-bcbb-43772844c679,Mapillary,666138011090118,2022-02-13 14:21:48.123000+01:00,2022,2,13,14,47.3786937006476,8.542057871818542,196,142,pzufo0KCeAtbDs6q5SZRkY,67.9683870527072,53.640533265443175,254.9094696044922,3.89,3.93,4.25,5.58,2.81,5.12,0,0,23724,772,0,0,0,0,0,0,0,0,58728,508068,0,35740,0,374692,0,6328,0,0,0,4488,60636,0,0,637052,0,0,971692,0,0,0,0,3596,0,0,0,0,0,0,0,0,4064,28580,0,64280,10648,17548,10108,11488,0,0,0,199828,0,0,0,0,0,0,0,0,0,3032060,https://www.mapillary.com/app/?focus=photo&pKey=666138011090118
