"room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","name","last_modified","latitude","longitude","location","predicted_price","price_per_bedroom","normalized_price_per_bedroom","avg_price_per_bedroom"
13728220,1363,56317833,"Entire home/apt",NA,"Zurich",NA,"Kreis 12",0,0,2,1,NA,127,NA,"modern loft with private garden","2017-06-22 20:02:57.397914",47.408913,8.574054,"0101000020E6100000A646E867EA25214062F4DC4257B44740",94.2669967550105,1.53984270413632,0.688235294117647,0.816875024148895
7997920,1363,16497804,"Entire home/apt",NA,"Zurich",NA,"Kreis 7",0,0,4,2,NA,127,NA,"Wohnung am Zürichberg","2017-06-22 20:02:57.393636",47.383437,8.566185,"0101000020E6100000B6F81400E3212140C689AF7614B14740",176.742953330869,0.769921352068159,0.314705882352941,1.04123797875998
7556200,1363,4922064,"Entire home/apt",NA,"Zurich",NA,"Kreis 1",3,4.5,2,1,NA,136,NA,"Bright Apartment in Historical Centre","2017-06-22 20:02:57.376017",47.373809,8.542736,"0101000020E610000045B9347EE1152140A9F92AF9D8AF4740",94.2669967550105,1.64896541545307,0.741176470588235,1.34136192073295
18605571,1363,20436428,"Entire home/apt",NA,"Zurich",NA,"Kreis 12",0,0,8,4,NA,140,NA,"5.5-room appartment with rooftop terrace/jacuzzi","2017-06-22 20:02:57.373393",47.405797,8.588966,"0101000020E610000070E998F38C2D21404FE8F527F1B34740",341.694866482587,0.424366099565127,0.147058823529412,0.816875024148895
6442816,1363,12444393,"Entire home/apt",NA,"Zurich",NA,"Kreis 2",2,0,4,2,NA,127,NA,"2 bedroom lake view apartment","2017-06-22 20:02:57.370493",47.34231,8.534259,"0101000020E6100000F52F49658A112140008C67D0D0AB4740",176.742953330869,0.769921352068159,0.314705882352941,1.01930259240926
1880893,1363,1599948,"Entire home/apt",NA,"Zurich",NA,"Kreis 7",7,4,2,1,NA,141,NA,"Exclusive sunny penthouse at lake","2017-06-22 20:02:55.499616",47.368105,8.551156,"0101000020E610000005FD851E311A21403E3F8C101EAF4740",94.2669967550105,1.70958914396237,0.770588235294118,1.04123797875998
3631629,1363,18306611,"Entire home/apt",NA,"Zurich",NA,"Kreis 8",25,5,2,1,NA,126,NA,"Seefeldstrasse flat by the lake","2017-06-22 20:02:55.487268",47.364666,8.548997,"0101000020E6100000483481221619214048FB1F60ADAE4740",94.2669967550105,1.52771795843446,0.682352941176471,1.15787197389607
14396035,1363,51888942,"Entire home/apt",NA,"Zurich",NA,"Kreis 2",0,0,4,2,NA,127,NA,"Nice 2.5 flat in Zurich","2017-06-22 20:02:55.485007",47.326816,8.513296,"0101000020E6100000D255BABBCE0621409FE74F1BD5A94740",176.742953330869,0.769921352068159,0.314705882352941,1.01930259240926
12804946,1363,263540,"Entire home/apt",NA,"Zurich",NA,"Kreis 2",2,0,5,3,NA,127,NA,"Everything you need and a lake view","2017-06-22 20:02:55.469125",47.34863,8.531657,"0101000020E61000000261A75835102140C63368E89FAC4740",259.218909906728,0.513280901378773,0.190196078431373,1.01930259240926
1941072,1363,3607062,"Entire home/apt",NA,"Zurich",NA,"Kreis 10",1,0,2,2,NA,143,NA,"Special 2-room flat by the river","2017-06-22 20:02:54.279852",47.397235,8.503601,"0101000020E61000003E7782FDD7012140CDE9B298D8B24740",176.742953330869,0.866919317683046,0.361764705882353,0.855560213272917
15661635,1363,28993877,"Entire home/apt",NA,"Zurich",NA,"Kreis 8",8,4.5,5,2,NA,127,NA,"3 room/2 bedroom in trendy Seefeld","2017-06-22 20:02:54.271581",47.353389,8.558467,"0101000020E61000005CCAF962EF1D214011E2CAD93BAD4740",176.742953330869,0.769921352068159,0.314705882352941,1.15787197389607
9249366,1363,9104396,"Entire home/apt",NA,"Zurich",NA,"Kreis 4",6,4.5,3,1,NA,133,NA,"Fancy city center appartement","2017-06-22 20:02:54.257237",47.376735,8.530049,"0101000020E6100000158E2095620F214018213CDA38B04740",94.2669967550105,1.61259117834748,0.723529411764706,1.0475354856734
19449226,1363,58818657,"Entire home/apt",NA,"Zurich",NA,"Kreis 11",0,0,3,1,NA,134,NA,"Roof Top Apartment","2017-06-22 20:02:54.254471",47.415681,8.544702,"0101000020E6100000AF21382EE3162140C748F60835B54740",94.2669967550105,1.62471592404934,0.729411764705882,0.874852422750352
2579889,1363,12227344,"Entire home/apt",NA,"Zurich",NA,"Kreis 3",213,4.5,6,2,NA,127,NA,"Mi Casa es su Casa","2017-06-22 20:02:54.244679",47.363474,8.517493,"0101000020E61000005FD1ADD7F40821402079E75086AE4740",176.742953330869,0.769921352068159,0.314705882352941,0.958496967772351
18594233,1363,45970695,"Entire home/apt",NA,"Zurich",NA,"Kreis 3",0,0,5,2,NA,137,NA,"Lovely flat in Schmiede Wiedikon","2017-06-22 20:02:48.702986",47.369473,8.519511,"0101000020E610000013D38558FD092140A4E029E44AAF4740",176.742953330869,0.830545080577463,0.344117647058824,0.958496967772351
6181046,1363,26405020,"Entire home/apt",NA,"Zurich",NA,"Kreis 7",14,4.5,4,1,NA,127,NA,"Close to old town and lake","2017-06-22 20:02:48.683990",47.363441,8.565882,"0101000020E610000047CA1649BB2121404583143C85AE4740",94.2669967550105,1.53984270413632,0.688235294117647,1.04123797875998
