room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
16759868,1286,111228359,Shared room,,Zurich,,Kreis 4,6,4.0,2,1.0,,126.0,,Uebernachtung in zürich city,2017-05-18 17:49:30.124906,47.376126,8.527156,0101000020E6100000C5C72764E70D2140709692E524B04740
15011370,1286,7678232,Shared room,,Zurich,,Kreis 7,1,0.0,2,1.0,,114.0,,"Classic Appartment, Amazing Location",2017-05-18 17:49:28.356439,47.367114,8.564028,0101000020E61000007C0E2C47C8202140AEF36F97FDAE4740
13281276,1286,40470610,Shared room,,Zurich,,Kreis 4,1,0.0,2,1.0,,102.0,,Living in the heart of Zürich,2017-05-18 17:49:26.963669,47.378249,8.528173,0101000020E6100000AB4203B16C0E2140525F96766AB04740
16156866,1286,25790652,Shared room,,Zurich,,Kreis 11,0,0.0,4,1.0,,95.0,,Schöne Altbauwohnung Zürich,2017-05-18 17:49:26.960239,47.416452,8.544951,0101000020E610000051D845D103172140492D944C4EB54740
15185223,1286,80648271,Shared room,,Zurich,,Kreis 1,6,5.0,2,1.0,,103.0,,"Wohnen im Stadtzentrum, mit bester Sicht",2017-05-18 17:49:26.902621,47.36836,8.542973,0101000020E6100000D6389B8E00162140C993A46B26AF4740
9539707,1286,16951627,Shared room,,Zurich,,Kreis 12,3,4.5,2,1.0,,73.0,,Great apartment close to ZurichCity,2017-05-18 17:49:25.522762,47.415917,8.56724,0101000020E610000051F701486D222140DB6CACC43CB54740
2988751,1286,15235319,Shared room,,Zurich,,Kreis 10,2,0.0,1,1.0,,63.0,,Sunny garden studio in the center,2017-05-18 17:49:24.164098,47.388734,8.535122,0101000020E61000007FBDC282FB112140F06B2409C2B14740
8668891,1286,16887412,Shared room,,Zurich,,Kreis 11,3,3.5,1,1.0,,68.0,,a House apartment share two room,2017-05-18 17:49:24.135671,47.4141,8.528261,0101000020E61000002881CD39780E214005A3923A01B54740
15122104,1286,2053961,Shared room,,Zurich,,Kreis 10,4,5.0,1,1.0,,73.0,,Cozy couch in the heart of Zurich and near river,2017-05-18 17:49:24.132985,47.388007,8.533177,0101000020E610000073F56393FC1021403ECF9F36AAB14740
18619653,1286,129352195,Shared room,,Zurich,,Kreis 1,0,0.0,3,1.0,,77.0,,"didn't read,",2017-05-18 17:49:24.130878,47.373044,8.532549,0101000020E6100000F6083543AA10214009FCE1E7BFAF4740
18619546,1286,129351356,Shared room,,Zurich,,Kreis 4,0,0.0,3,1.0,,77.0,,your vocabulary,2017-05-18 17:49:24.128817,47.373363,8.531983,0101000020E6100000520E661360102140AA44D95BCAAF4740
9638458,1286,7766714,Shared room,,Zurich,,Kreis 11,7,4.5,1,1.0,,78.0,,"Bright, clean, heated living room!",2017-05-18 17:49:24.126083,47.417981,8.535156,0101000020E610000030849CF7FF112140B8ACC26680B54740
18622236,1286,129368977,Shared room,,Zurich,,Kreis 1,0,0.0,3,1.0,,77.0,,often found,2017-05-18 17:49:24.124026,47.371045,8.540625,0101000020E6100000CDCCCCCCCC142140132C0E677EAF4740
18619805,1286,129353164,Shared room,,Zurich,,Kreis 1,0,0.0,3,1.0,,77.0,,importance of loving,2017-05-18 17:49:24.121921,47.372778,8.53342,0101000020E61000008C101E6D1C1121408A558330B7AF4740
17401401,1286,8527942,Shared room,,Zurich,,Kreis 1,4,5.0,1,1.0,,82.0,,Cozy studio living-room sharing,2017-05-18 17:49:24.119233,47.369301,8.545043,0101000020E6100000D4D347E00F172140A7B0524145AF4740
18619963,1286,129354176,Shared room,,Zurich,,Kreis 1,0,0.0,3,1.0,,77.0,,success in life,2017-05-18 17:49:24.117322,47.372844,8.536157,0101000020E6100000FE0A992B831221404241295AB9AF4740
18619377,1286,129349967,Shared room,,Zurich,,Kreis 1,0,0.0,3,1.0,,77.0,,learning experience,2017-05-18 17:49:24.115397,47.372695,8.534557,0101000020E61000001CB28174B1112140FD304278B4AF4740
18621307,1286,129362876,Shared room,,Zurich,,Kreis 1,0,0.0,3,1.0,,77.0,,it difficult,2017-05-18 17:49:24.113121,47.371019,8.535505,0101000020E610000060B01BB62D122140E998F38C7DAF4740
292351,1286,1513739,Entire home/apt,,Zurich,,Kreis 3,0,0.0,4,1.0,,165.0,,Room in central Zurich,2017-05-18 17:44:25.801416,47.378962,8.507872,0101000020E6100000B51B7DCC07042140A036AAD381B04740
15381261,1286,23561865,Entire home/apt,,Zurich,,Kreis 2,11,5.0,5,2.0,,167.0,,Nice 2BD flat city center / near FIFA (Wille 2),2017-05-18 17:44:23.687947,47.36437,8.531675,0101000020E61000009C33A2B4371021405FD218ADA3AE4740
8729077,1286,9186895,Entire home/apt,,Zurich,,Kreis 8,4,5.0,4,1.0,,147.0,,Sunny loft in Seefeld near lake,2017-05-18 17:44:20.248664,47.354377,8.555611,0101000020E61000008198840B791C214030BABC395CAD4740
13820395,1286,5874786,Entire home/apt,,Zurich,,Kreis 7,3,4.5,4,1.0,,168.0,,Wonderful Apartment with balcony in Kreis 7,2017-05-18 17:44:20.231073,47.367012,8.5589,0101000020E610000003780B24281E2140AA9ECC3FFAAE4740
14803028,1286,32032652,Entire home/apt,,Zurich,,Kreis 3,4,5.0,4,1.0,,166.0,,3.5 Zi. Altbau Bijou mit Balkon-zentral gelegen,2017-05-18 17:44:18.408387,47.36665,8.5227,0101000020E6100000083D9B559F0B2140098A1F63EEAE4740
12290951,1286,24781069,Entire home/apt,,Zurich,,Kreis 6,4,5.0,3,1.0,,158.0,,Charming apartment in Züriberg,2017-05-18 17:44:18.324180,47.384857,8.554571,0101000020E6100000BA9EE8BAF01B21407E5182FE42B14740
13825478,1286,80881750,Entire home/apt,,Zurich,,Kreis 12,3,4.0,4,2.0,,151.0,,3.5 Room apartment Zürich (90m2),2017-05-18 17:44:15.249588,47.404013,8.557605,0101000020E6100000132C0E677E1D21405514AFB2B6B34740
16329215,1286,57254504,Entire home/apt,,Zurich,,Kreis 2,14,5.0,4,2.0,,178.0,,Furnished renovated apartment in Zurich City,2017-05-18 17:44:13.215887,47.350751,8.530353,0101000020E6100000C5ABAC6D8A0F21400805A568E5AC4740
15496734,1286,6700860,Entire home/apt,,Zurich,,Kreis 6,43,5.0,3,1.0,,146.0,,"Cute apartment, close to transportation and park",2017-05-18 17:44:13.145571,47.398516,8.540177,0101000020E6100000501A6A14921421406477819202B34740
3733851,1286,10244842,Entire home/apt,,Zurich,,Kreis 5,3,5.0,3,2.0,,126.0,,Sweet apartment in the city centre,2017-05-18 17:44:08.196027,47.386173,8.527636,0101000020E61000006F62484E260E214092CCEA1D6EB14740
7156272,1286,21555764,Entire home/apt,,Zurich,,Kreis 9,12,4.5,4,2.0,,141.0,,Modern apartment 3.5 rooms,2017-05-18 17:44:04.845366,47.385427,8.484995,0101000020E61000007172BF4351F8204069FF03AC55B14740
8369367,1286,22128114,Entire home/apt,,Zurich,,Kreis 8,9,4.5,4,1.0,,136.0,,Beautiful flat near lake,2017-05-18 17:44:04.839074,47.353511,8.557206,0101000020E61000001C45D61A4A1D21405CE333D93FAD4740
7384667,1286,2316695,Entire home/apt,,Zurich,,Kreis 8,3,4.5,3,1.0,,105.0,,Bright Apartment in Seefeld Zürich,2017-05-18 17:44:01.434591,47.356273,8.555165,0101000020E610000087C43D963E1C214052B9895A9AAD4740
12218415,1286,2138160,Entire home/apt,,Zurich,,Kreis 5,0,0.0,3,0.0,,115.0,,Loft Apartment Trendy Zurich West,2017-05-18 17:43:59.883495,47.389384,8.521001,0101000020E6100000D95DA0A4C00A2140F7CABC55D7B14740
2844956,1286,2382687,Entire home/apt,,Zurich,,Kreis 8,6,5.0,4,2.0,,112.0,,Cozy  and bright 2 BD apartment,2017-05-18 17:43:59.843468,47.359649,8.562549,0101000020E610000086CB2A6C0620214001857AFA08AE4740
8652123,1286,6598652,Entire home/apt,,Zurich,,Kreis 5,2,0.0,4,1.0,,105.0,,Modern sunny flat in trendy area,2017-05-18 17:43:58.446496,47.392183,8.506848,0101000020E61000000516C094810321400A86730D33B24740
4622281,1286,7907114,Entire home/apt,,Zurich,,Kreis 5,12,5.0,5,3.0,,377.0,,"Modern, large penthouse apartment",2017-05-18 17:43:33.876834,47.3875,8.522813,0101000020E6100000E8D84125AE0B21409A99999999B14740
14895620,1286,93479632,Entire home/apt,,Zurich,,Kreis 7,0,0.0,2,1.0,,418.0,,Above Zürich,2017-05-18 17:43:32.138045,47.353427,8.599928,0101000020E6100000CDE847C329332140FF428F183DAD4740
7841685,1286,475053,Entire home/apt,,Zurich,,Kreis 1,28,4.5,3,1.0,,314.0,,Amazing oldtown location by Airhome,2017-05-18 17:43:30.396300,47.372022,8.543449,0101000020E61000007B1684F23E1621403EB2B96A9EAF4740
